Price,Close,High,Low,Open,Volume
Ticker,JINDALSAW.NS,JINDALSAW.NS,JINDALSAW.NS,JINDALSAW.NS,JINDALSAW.NS
Date,,,,,
2019-01-01,32.36091613769531,32.49369774219868,31.94359838865347,32.285038867677756,594816
2019-01-02,31.507314682006836,32.19019270867262,31.20381140720755,32.05741111135608,728380
2019-01-03,31.071027755737305,31.810812959322327,30.938246167199164,31.734938592849545,457968
2019-01-04,31.260719299316406,31.393500899463007,30.843404458389173,31.127937699169806,768204
2019-01-07,30.86236572265625,31.772872498512807,30.388143745066508,31.583183707476913,548250
2019-01-08,31.20380973815918,31.39349855115711,30.558868931734857,30.881339334947018,504496
2019-01-09,30.957216262817383,31.697004431349377,30.691653060424454,31.41247118831903,850060
2019-01-10,30.691648483276367,31.20380766546662,30.57783404526903,30.805460026862317,355432
2019-01-11,30.691648483276367,30.938244502678014,30.46402250168308,30.86236724586599,502096
2019-01-14,30.217426300048828,30.78649269781087,30.06567468176134,30.78649269781087,425086
2019-01-15,30.86236572265625,31.146898909210098,30.23639213335354,30.388143745066508,1136410
2019-01-16,30.577831268310547,31.31761925933084,30.445049698974945,30.938241692988473,847812
2019-01-17,30.198457717895508,30.80546132588115,29.894957361113445,30.539898151894157,636608
2019-01-18,29.894956588745117,30.42608292299689,29.800112186997097,30.38814574118197,310700
2019-01-21,29.6293888092041,30.160518007080977,29.40176283709152,30.08464364785054,389102
2019-01-22,29.193105697631836,29.64836056263402,28.68094650712313,29.629390524517557,471854
2019-01-23,29.477638244628906,29.800111518879493,28.9275418845921,29.212075083456938,396270
2019-01-24,28.98444938659668,29.553515789889463,28.548164565187932,29.553515789889463,370094
2019-01-25,29.458669662475586,31.412464778133756,29.306918051608896,31.014117161411356,3496400
2019-01-28,30.331235885620117,30.53989470910296,28.47228808842906,29.59145077403765,1619096
2019-01-29,31.260719299316406,31.81081574039024,30.16052352274694,30.16052352274694,2202488
2019-01-30,31.24174690246582,31.54525016084259,31.108965312334075,31.33659130890586,866986
2019-01-31,33.27141571044922,34.2957370086094,31.241746047087624,31.45040489331141,6521376
2019-02-01,32.19019317626953,34.106051475623715,31.924629977778874,33.84048538271127,2415386
2019-02-04,31.12793731689453,32.37988182430138,30.862371225440885,32.03844136067341,768848
2019-02-05,30.653711318969727,31.65905964609577,30.44505248064844,30.99514884433708,645534
2019-02-06,30.141550064086914,30.919275325125533,30.008768478998277,30.786493740036896,775040
2019-02-07,30.881338119506836,31.279682874471323,30.084645715156398,30.198457261822764,686324
2019-02-08,30.331235885620117,30.862365068140925,30.236391492113583,30.72958349611602,531430
2019-02-11,29.610424041748047,30.33123919551976,29.534546782009993,30.160520426346775,406944
2019-02-12,29.496610641479492,30.293303083136742,29.325891866274944,29.648362271895543,1073212
2019-02-14,29.193105697631836,29.667327706329047,28.984449750457927,29.022386932269413,541960
2019-02-15,28.98444938659668,29.47763853279758,28.64300896573673,29.174138187694272,526676
2019-02-18,28.358482360839844,29.268989396794705,28.111886283165518,29.231052206634516,526142
2019-02-19,28.775794982910156,29.458675929884304,28.510231778210127,28.529198924590503,758864
2019-02-20,30.122583389282227,30.426083746436852,29.250013711816955,29.667328511918015,2430342
2019-02-21,30.5968017578125,30.862364900419106,29.80010943557151,30.407112971830305,1959214
2019-02-22,30.938247680664062,31.260718095580597,30.426085551442974,30.426085551442974,1442814
2019-02-25,31.43143653869629,31.98153584711141,30.350210855841276,30.824432900463798,1178162
2019-02-26,30.976186752319336,31.678034849746716,30.44505744541526,31.07103116803714,1034268
2019-02-27,30.710617065429688,32.39884920471673,30.445053890199674,31.29865353198097,2775298
2019-02-28,30.881338119506836,31.184838471705284,30.72958649619688,30.72958649619688,557984
2019-03-01,32.55060577392578,32.7023545288598,31.08999940509911,31.08999940509911,2295254
2019-03-05,34.58026885986328,34.75098762229703,32.455754876229925,32.740288076567104,3478260
2019-03-06,36.09778594970703,36.87550843806897,34.1060531783269,34.750994060814556,4240682
2019-03-07,35.3769645690918,36.45819025317702,35.130368526723174,36.04087543231872,1619088
2019-03-08,34.54233169555664,35.64252442186012,34.3716100386182,35.28211685902572,939780
2019-03-11,35.16830062866211,35.94602582809385,34.56129707746773,34.826863121029874,1241086
2019-03-12,35.68046188354492,36.36333977800755,35.41489584590291,35.41489584590291,1426548
2019-03-13,35.43387222290039,36.42025350990943,35.30109062752985,35.832217009012005,1259660
2019-03-14,35.62356185913086,36.1926283332562,35.149339797359744,35.50974740653709,1408044
2019-03-15,34.106048583984375,36.420251484867705,33.612856520691516,35.73737061175782,2189986
2019-03-18,34.01120376586914,34.65614455364292,33.76460773721864,34.08707813110553,675272
2019-03-19,34.8458366394043,35.47181034197048,33.916362552918166,34.14398856446356,2118414
2019-03-20,34.75099182128906,35.69943593701432,34.637180264055075,35.50974711386927,2119888
2019-03-22,34.2578010559082,35.187275089174356,34.068112241411306,34.90274186742901,699410
2019-03-25,32.39884948730469,33.93532711925951,32.15225345419938,33.93532711925951,2033318
2019-03-26,32.60750198364258,33.1576012136641,32.30400165498842,32.43678322967594,1206154
2019-03-27,32.01947021484375,33.36625896643328,31.696999831754507,32.81616260083524,3163840
2019-03-28,32.30400466918945,32.96791549899608,32.05740863923412,32.15225304349221,1266502
2019-04-01,32.94894790649414,33.95429924515111,32.816166309559456,33.23348114039205,1998002
2019-04-02,32.43678283691406,33.36625674289341,32.34193844265408,33.08172356011346,1114530
2019-04-03,32.09534454345703,33.11966580529098,31.90565574249757,32.62647376502781,1686614
2019-04-04,31.8487548828125,32.56957304927408,31.715973274511626,32.474728629856024,1703846
2019-04-05,32.09534454345703,32.512659326683576,31.886688599054462,31.886688599054462,1120702
2019-04-08,31.640094757080078,32.58853882716988,31.412468759142843,32.17122401521468,1282910
2019-04-09,31.583187103271484,31.678031508987015,31.241746663811266,31.640094325585117,907654
2019-04-10,31.469369888305664,31.9435918751362,31.298651130815195,31.52627710560959,1004734
2019-04-11,31.108964920043945,31.71596853472147,30.9382461483733,31.43143531898936,1261464
2019-04-12,31.108964920043945,31.393498135776056,30.976183331586604,31.07102773683064,1654388
2019-04-15,32.41781997680664,33.11967096524014,31.165875432077673,31.26071984733389,2991854
2019-04-16,33.536983489990234,34.902742396173565,32.56956936363198,32.68338381182294,5516602
2019-04-18,32.759254455566406,33.821512869808146,32.53162847949212,33.536979676109965,1438514
2019-04-22,31.924631118774414,32.854105241133176,31.772879473746766,32.28503874309592,872148
2019-04-23,31.583187103271484,32.398849571309356,31.450405514154056,31.867720320418076,1907224
2019-04-24,31.734933853149414,32.0004969905631,31.526275034880715,31.659056603587562,739460
2019-04-25,31.678035736083984,32.37988385314876,31.507316940784047,31.867724572827,715694
2019-04-26,31.678035736083984,32.30400947622033,31.52628408780518,31.772880154455493,894828
2019-04-30,30.76752471923828,31.69700163444117,30.59680594625284,31.488342783528672,2222198
2019-05-02,30.881338119506836,31.2417456922492,30.50196050844268,30.748556534518677,707714
2019-05-03,30.72958755493164,31.393498397167818,30.59680596536872,31.071027995537417,1116724
2019-05-06,30.369178771972656,30.61577190239717,30.236394293225352,30.350208733745482,942966
2019-05-07,29.64836311340332,30.653714437220163,29.4397042538562,30.539899987572333,1433040
2019-05-08,29.13620376586914,29.93289622705005,29.041359356337566,29.401766954788886,673772
2019-05-09,29.287954330444336,29.724239220357788,28.984453937685917,29.04136116583495,791608
2019-05-10,29.25001335144043,29.74320540556988,29.098261727522022,29.401764975358837,1910596
2019-05-13,27.979103088378906,29.458676576343667,27.78941425388142,29.212080512612552,869546
2019-05-14,28.756820678710938,29.19310256434928,27.618687979992895,27.884251118591987,742218
